event_count,trial,seed,query_type,sample_position,query_key,row_count,row_sha256,full_indexes_connect_plus_first_query_ms,no_service_index_connect_plus_first_query_ms,no_correlation_index_connect_plus_first_query_ms,no_lookup_indexes_connect_plus_first_query_ms
10000,3,9440,correlation,18,corr-9440-00001224,6,2ea1e280d31c40e47d6f244cdfa4cde19147a97a8405f7b9d29439cbb8e75190,0.099417,0.108209,0.954583,0.856375
10000,3,9440,correlation,19,corr-9440-00000776,6,10d663d23ac96906a163b40b72db240f89e060ad8b06a00beac770cf5e91c4a5,0.104875,0.105375,0.832833,0.793042
10000,4,9541,service,0,svc-0072,48,6b145a1b2e69aafa723dc40fb90b9e1bccc5a85f317998cfec6f819b8df0f8eb,0.314666,0.942083,0.168583,0.893375
10000,4,9541,service,1,svc-0160,48,93909e7bb5074c6c0ef073a76b6c7b4eef9a5b2fedcdbb4ca489f2aaeaaad145,0.151333,1.112666,0.231792,0.854625
10000,4,9541,service,2,svc-0138,48,f2a20eb97ce5a279cf206a50f7c5edc1ab99edbe50707391bf20a8a763ecb710,0.140667,0.856417,0.143792,0.833292
10000,4,9541,service,3,svc-0057,48,71b4606f677166f2963559b7de56da6d86384fcaa26edee47d402c2577697ab5,0.141042,0.867875,0.143375,0.819542
10000,4,9541,service,4,svc-0063,54,ef0b1da5fdc2057804675b2f2879050e76a9857923cb94c47d56554ff31ca86b,0.181125,0.970625,0.185916,0.915625
10000,4,9541,service,5,svc-0160,48,93909e7bb5074c6c0ef073a76b6c7b4eef9a5b2fedcdbb4ca489f2aaeaaad145,0.142584,0.864625,0.146,0.832084
10000,4,9541,service,6,svc-0148,48,d7402f5cd1228fcb7281dec73cfc2d073de07ce380350ee155965e0e912ef8f3,0.139875,0.831291,0.140875,0.81175
10000,4,9541,service,7,svc-0022,48,74d5a17c32ff913a77e8b778624a6f382f20b71088ec4b684d31130f6be16abc,0.158292,0.919542,0.153083,0.83525
